title,price,rating,image,cpu,ram,storage,screen,os_version,display_resolution,model_number,link,spec_adobe_flash_compatible,spec_audio_jack,spec_bag_style,spec_battery_life,spec_battery_size,spec_care_instructions,spec_casing,spec_charging_type,spec_closure,spec_colour_name,spec_compatibility,spec_connection_type,spec_cpu_speed,spec_display_resolution,spec_display_type,spec_exterior_material,spec_external_graphics,spec_feature,spec_features,spec_gender,spec_gpu_version,spec_grade,spec_graphic_memory,spec_hdd_rotation,spec_hdmi_output,spec_interior_material,spec_internal_memory,spec_keyboard_language,spec_level,spec_material,spec_model_name,spec_model_number,spec_model_series,spec_number_of_channels,spec_number_of_cores,spec_number_of_hdmi_ports,spec_number_of_pieces,spec_number_of_usb_ports,spec_occasion,spec_operating_system,spec_operating_system_number,spec_os_version,spec_pack_quantity,spec_pattern,spec_pixels_per_inch,spec_processor_version,spec_processor_version_number_generation,spec_product_height,spec_product_length,spec_product_weight,spec_product_width,spec_ram_size,spec_ram_type,spec_refresh_rates,spec_resolution,spec_response_time,spec_screen_size,spec_sd_card_slot,spec_set_includes,spec_sim_type,spec_size,spec_strap_material,spec_type,spec_usage,spec_usb_port_type,spec_version,spec_weight,spec_what_s_in_the_box,spec_wireless
"Cyborg 15 B2RWEKG(Upgraded Version) Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Core 7-240H Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5050 Graphics/Windows 11/ Black",5399.00,,https://f.nooncdn.com/p/pzsku/Z2FE1EFD00E4A5989997BZ/45/_/1773666143/4726508b-6710-44ac-a164-92066d830bd6.jpg?width=1200,Core 7-240H,16 GB,1 TB,15.6 in,Windows 11,1920x1080,Cyborg 15 B2RWEKG,https://www.noon.com/saudi-en/cyborg-15-b2rwekg-upgraded-version-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-core-7-240h-processor-16gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5050-graphics-windows-11-black/N70314331V/p/,,,,,,,,,,Black,,,2.4 GHz,1920x1080,,,Graphic Card,,,,,,,,,,1 TB,,,,Cyborg 15 B2RWEKG,Cyborg 15 B2RWEKG,MSI Cyborg,,16-Core,,,,,Windows,,Windows 11,,,,Core 7-240H,2nd Gen,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"Pro 15 Essential Laptop(Upgraded version) With 15.6 Inch Full HD (1920x1080) Display, Core i5 1334U Processor/8GB RAM DDR5/512GB SSD/Intel UHD Graphics/Windows11/ English/Arabic Black",2199.00,3.6,https://f.nooncdn.com/p/pnsku/N70349762V/45/_/1775987872/dcd71966-1380-4df3-a4f6-96ba74f8f005.jpg?width=1200,Core i5 1334U,8 GB,512 GB,15.6 in,Windows 11,1920x1080,Pro 15,https://www.noon.com/saudi-en/pro-15-essential-laptop-upgraded-version-with-15-6-inch-full-hd-1920x1080-display-core-i5-1334u-processor-8gb-ram-ddr5-512gb-ssd-intel-uhd-graphics-windows11-english-arabic-black/N70349762V/p/,,,,,,,,,,Black,,,1.5 GHz,1920x1080,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,,Pro 15,,,Deca core,,,,,Windows,,Windows 11,,,,Core i5 1334U,13th Gen,,,,,8 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 256GB SSD| English Keyboard || Indigo",2799.00,,https://f.nooncdn.com/p/pzsku/ZD630FB2A8AA46CD404F2Z/45/_/1779095054/c103be76-5355-4c0a-b73b-6002b965454e.jpg?width=1200,"A18 Pro, 6-core CPU, 5-core GPU",8 GB,256 GB,13 in,macOS Sequoia,,MHFF4LLA / MHFF4HN/A / MHFF4X/A MHFF4ZS/A,https://www.noon.com/saudi-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-256gb-ssd-english-keyboard-indigo/N70305953V/p/,,,,16 Hours,,,,,,Indigo,,,,,Liquid Retina XDR,,,,,,,,,,,,256 GB,,,,MacBook Neo / MHFF4X/A,MHFF4LLA / MHFF4HN/A / MHFF4X/A MHFF4ZS/A,,,16-Core,,,,,macOS,,macOS Sequoia,,,,"A18 Pro, 6-core CPU, 5-core GPU",Not Applicable,,,,,8 GB,DDR4,,,,13 in,,,,,,SSD,Personal,,International Version,,,
"Vivobook Go 15 (E510KAB) Laptop With 15.6-Inch Display, Celeron N4500 Processor/4GB RAM/128GB eMMC/Integrated Graphics/Windows 11 English/Arabic Star Black",996.00,2.4,https://f.nooncdn.com/p/pnsku/N70253570V/45/_/1773056698/29f6e8df-6631-4976-8f7b-0561712c97e6.jpg?width=1200,Intel Celeron N4500,4 GB,128 GB,15.6 in,Windows 11,1366x768,E510KAB-BR1140WS,https://www.noon.com/saudi-en/vivobook-go-15-e510kab-laptop-with-15-6-inch-display-celeron-n4500-processor-4gb-ram-128gb-emmc-integrated-graphics-windows-11-english-arabic-star-black/N70253570V/p/,,,,,,,,,,Star Black,,,2.8 GHz,1366x768,,,Integrated,,,,,,,,,,128 GB,English/Arabic,,,Vivobook Go 15,E510KAB-BR1140WS,ASUS Vivobook,,Dual Core,1,,2,,Windows,,Windows 11,,,,Intel Celeron N4500,Not Applicable,,,,,4 GB,DDR4,,Full HD,,15.6 in,No,,,,,eMMC,Personal,,,,,
11.6 Inch N4020 Portable Notebook Computer Online Business Travel Simple Office Computer Laptop,640.00,2.9,https://f.nooncdn.com/p/pzsku/ZB8BDE48E088C9E501A64Z/45/_/1774683030/b8a227f5-846f-4a26-8541-c2168dff3046.jpg?width=1200,,,,11.6 Inch,,,,https://www.noon.com/saudi-en/11-6-inch-n4020-portable-notebook-computer-online-business-travel-simple-office-computer-laptop/ZB8BDE48E088C9E501A64Z/p/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep space Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matebook D 16 Laptop With 16-Inch Full HD With Eye Comfort Full View Display, Intel Core i5-12450H Processor/8GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11/ English/Arabic Mystic Silver",2149.00,4.3,https://f.nooncdn.com/p/pnsku/N53337038A/45/_/1764242519/dc2bc733-ad2a-4775-8e29-633d803392ca.jpg?width=1200,Core i5-12450H,8 GB,512 GB,16 in,Windows 11,1920x1200,RolleF-W5851,https://www.noon.com/saudi-en/matebook-d-16-laptop-with-16-inch-full-hd-with-eye-comfort-full-view-display-intel-core-i5-12450h-processor-8gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-english-arabic-mystic-silver/N53337038A/p/,,,,,,,,,,Mystic Silver,,,1.8 GHz,1920x1200,IPS,,Integrated,,Anti Glare,,Intel Iris XE,,,,Yes,,512 GB,English/Arabic,,,Matebook D16,RolleF-W5851,Huawei MateBook D,,Quad Core,1,,,,Windows,,Windows 11,,,,Core i5-12450H,12th Gen,,,,,8 GB,DDR4,,Full HD,,16 in,Yes,,,,,SSD,Personal,,,,,
"MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 512GB SSD| English And Arabic Keyboard | Citrus",3299.00,4.7,https://f.nooncdn.com/p/pzsku/Z793D1446334ACB3B2FBEZ/45/_/1779094404/644d2fe1-1e37-4b51-9ae0-b7a1a9c7f0ac.jpg?width=1200,"A18 Pro, 6-core CPU, 5-core GPU",8 GB,512 GB,13 in,macOS Sequoia,,"MHFE4AB/A, MHFE4HN/A",https://www.noon.com/saudi-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-512gb-ssd-english-and-arabic-keyboard-citrus/N70305946V/p/,,,,16 Hours,,,,,,Citrus,,,,,Liquid Retina XDR,,,,,,,,,,,,512 GB,,,,MacBook Neo,"MHFE4AB/A, MHFE4HN/A",,,16-Core,,,,,macOS,,macOS Sequoia,,,,"A18 Pro, 6-core CPU, 5-core GPU",Not Applicable,,,,,8 GB,DDR4,,,,13 in,,,,,,SSD,Business,,Middle East Version,,,
"Renewed - Thinkpad X1 Carbon Laptop With 14-Inch Screen ,Intel Core i5/Quad Core/8th Gen/16GB RAM/256GB SSD/Windows 10 English Black",920.00,2.8,https://f.nooncdn.com/p/pnsku/N70098730V/45/_/1722924113/e23b1083-5667-4277-802d-32e6a8348a36.jpg?width=1200,Core i5-8265U,16 GB,256 GB,14 in,Windows 10,1920x1080,X1 carbon,https://www.noon.com/saudi-en/renewed-thinkpad-x1-carbon-laptop-with-14-inch-screen-intel-core-i5-quad-core-8th-gen-16gb-ram-256gb-ssd-windows-10-english-black/N70098730V/p/,,,,2 Hours,,,,,,Black,,,1.6 GHz,1920x1080,,,Integrated,,,,Intel HD 620,Max,,,Yes,,256 GB,English,,,Thinkpad X1 Carbon,X1 carbon,Lenovo ThinkPad,,Quad Core,,,2,,Windows,,Windows 10,,,,Core i5-8265U,Not applicable,,,,,16 GB,DDR4,,,,14 in,Yes,,,,,SSD,Business,,,,,
"Gaming A16 CVH Laptop With 16 Inch WUXGA (1920x1200) Display,Intel Core i7-13620H Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5060 Graphics/Windows 11 Home/ English/Arabic Black Steel",4999.00,4.3,https://f.nooncdn.com/p/pzsku/Z9AE837DEE0A5D9772B40Z/45/_/1779094931/afda850f-96ca-4a84-a12e-2db113fa9486.jpg?width=1200,Core i7-13620H,16 GB,1 TB,16 in,Windows 11 Home,1920x1200,CVHI3AE894SH,https://www.noon.com/saudi-en/gaming-a16-cvh-laptop-with-16-inch-wuxga-1920x1200-display-intel-core-i7-13620h-processor-16gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5060-graphics-windows-11-home-english-arabic-black-steel/N70249516V/p/,,,,,,,,,,Black Steel,,,1.8 GHz,1920x1200,,,Graphic Card,,,,,,8 GB,,,,1 TB,English/Arabic,,,,CVHI3AE894SH,,,Deca core,,,,,Windows,,Windows 11 Home,,,,Core i7-13620H,13th Gen,,,,,16 GB,DDR5,,WUXGA,,16 in,,,,,,SSD,Gaming,,,,,
"Vivobook S 15 Laptop With 15.6 Inch 3K (2880x1620)OLED Display, AI Qualcomm Snapdragon X Plus NPU/16GB RAM DDR5/1TB SSD/Windows 11 Home/ English/Arabic Cool Silver",4199.00,3.8,https://f.nooncdn.com/p/pnsku/N70095107V/45/_/1726664847/26bb4381-a33f-4acc-946c-f9716fd60bbe.jpg?width=1200,Snapdragon X Plus,16 GB,1 TB,15.6 in,Windows 11 Home,,S5507QA-MA007W,https://www.noon.com/saudi-en/vivobook-s-15-laptop-with-15-6-inch-3k-2880x1620-oled-display-ai-qualcomm-snapdragon-x-plus-npu-16gb-ram-ddr5-1tb-ssd-windows-11-home-english-arabic-cool-silver/N70095107V/p/,,,,10 Hours,,,,,,Cool Silver,,,3.4 GHz,,OLED,,Integrated,,,,,,,,Yes,,1 TB,English/Arabic,,,ASUS Vivobook S 15,S5507QA-MA007W,ASUS Vivobook,,Quad Core,,,2,,Windows,,Windows 11 Home,,,,Snapdragon X Plus,Not Applicable,,,,,16 GB,DDR4,,,,15.6 in,Yes,,,,,SSD,Personal,,,,,
"Renewed - ThinkPad T480 Laptop With 14-Inch FHD Display,Core i5 Processor/8th Gen/Quad Core//8GB RAM/256GB SSD/Intel HD Graphics/Windows 10 Pro English Black",736.00,3.8,https://f.nooncdn.com/p/pnsku/N70175023V/45/_/1746709564/5294f322-8bac-43b3-86b1-260f52d7c5f6.jpg?width=1200,Intel Core i5-8500,8 GB,256 GB,14 in,Windows 10 Pro,1920x1080,T480,https://www.noon.com/saudi-en/renewed-thinkpad-t480-laptop-with-14-inch-fhd-display-core-i5-processor-8th-gen-quad-core-8gb-ram-256gb-ssd-intel-hd-graphics-windows-10-pro-english-black/N70175023V/p/,,,,2 Hours,,,,,,Black,,,1.6 GHz,1920x1080,LED,,Integrated,,,,Intel HD 2500,Max,,,Yes,,256 GB,English,,,ThinkPad,T480,Lenovo ThinkPad,,Quad Core,1,,3,,Windows,,Windows 10 Pro,,,,Intel Core i5-8500,8th Gen,,,,,8 GB,DDR4,,HD,,14 in,Yes,,,,,SSD,Business,,,,,
"TUF Gaming (Upgraded Version) Laptop With 15.6 Inch Full HD (1920x1080) Display, AMD Ryzen 7-7445HS Processor/8GB RAM DDR5/512GB SSD/4GB NVIDIA GeForce RTX 3050 Graphics/Windows 11/ English/Arabic Graphite Black",3299.00,4.2,https://f.nooncdn.com/p/pnsku/N70338593V/45/_/1774872129/22217193-951e-4bb3-b9ea-6ca403a172e5.jpg?width=1200,Ryzen 7-7445HS,8 GB,512 GB,15.6 in,Windows 11,1920x1080,FA506NCG-HN204+W11,https://www.noon.com/saudi-en/tuf-gaming-upgraded-version-laptop-with-15-6-inch-full-hd-1920x1080-display-amd-ryzen-7-7445hs-processor-8gb-ram-ddr5-512gb-ssd-4gb-nvidia-geforce-rtx-3050-graphics-windows-11-english-arabic-graphite-black/N70338593V/p/,,,,,,,,,,Graphite Black,,,3.5 GHz,1920x1080,,,,,,,NVIDIA GeForce RTX 3050,,4 GB,,,,512 GB,English/Arabic,,,,FA506NCG-HN204+W11,,,Hexa Core,,,,,Windows,,Windows 11,,,,Ryzen 7-7445HS,Not Applicable,,,,,8 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"LOQ (Upgraded Version) Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, AMD Ryzen 5 7535HS Processor/16GB RAM DDR5/512GB SSD/6GB NVIDIA GeForce RTX 3050 Graphics/Windows 11 Pro/ English/Arabic Luna Grey",2849.00,4.2,https://f.nooncdn.com/p/pnsku/N70279274V/45/_/1768883669/88b8ad15-b518-48ce-8fee-c97189d7831b.jpg?width=1200,Ryzen 5 7535HS,16 GB,512 GB,15.6 in,Windows 11 Pro,1920x1080,LOQ,https://www.noon.com/saudi-en/loq-upgraded-version-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-amd-ryzen-5-7535hs-processor-16gb-ram-ddr5-512gb-ssd-6gb-nvidia-geforce-rtx-3050-graphics-windows-11-pro-english-arabic-luna-grey/N70279274V/p/,,,,,,,,,,Luna Grey,,,3.3 GHz,1920x1080,,,Graphic Card,,,,NVIDIA GeForce RTX 3050,,6 GB,,,,512 GB,English/Arabic,,,,LOQ,Lenovo LOQ,,Hexa Core,,,,,Windows,,Windows 11 Pro,,,,Ryzen 5 7535HS,Not Applicable,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"16-AF1017WM Omnibook Laptop, 16"" 2K IPS LED Display, Intel Core Ultra 7 255 U, 16GB RAM, 1TB SSD ,Intel UHD Graphics, Win11 English Glacier Silver",3499.00,5.0,https://f.nooncdn.com/p/pnsku/N70269146V/45/_/1765952813/f78b47d6-c3b5-46b6-9ac9-7f82fa62eace.jpg?width=1200,Core Ultra 7 255 U,16 GB,1024 GB,16 in,Windows 11 Home,,16-AF1017WM,https://www.noon.com/saudi-en/16-af1017wm-omnibook-laptop-16-2k-ips-led-display-intel-core-ultra-7-255-u-16gb-ram-1tb-ssd-intel-uhd-graphics-win11-english-glacier-silver/N70269146V/p/,,,,,,,,,,Glacier Silver,,,2.4 GHz,,IPS,,Integrated,,,,,,,,Yes,,1024 GB,English,,,16-AF1017WM,16-AF1017WM,HP OMEN,,10-Core,1,,4,,Windows,,Windows 11 Home,,,,Core Ultra 7 255 U,Not Applicable,,,,,16 GB,DDR4,,,,16 in,,,,,,SSD,Personal,,International Version,,,
"Yoga Slim 9 Laptop With 14 Inch 4K WQUXGA (3840x2400) Display, Core Ultra 7 258V Processor/32GB RAM DDR5/1TB SSD/Windows 11 Home/Intel Arc Graphics/ English/Arabic Tidal Teal",8199.00,3.8,https://f.nooncdn.com/p/pnsku/N70220658V/45/_/1758624540/18d0c555-78b4-4a28-bb03-b496de633a06.jpg?width=1200,Core Ultra 7 258V,32 GB,1 TB,14 in,Windows 11 Home,,83CX0031AD,https://www.noon.com/saudi-en/yoga-slim-9-laptop-with-14-inch-4k-wquxga-3840x2400-display-core-ultra-7-258v-processor-32gb-ram-ddr5-1tb-ssd-windows-11-home-intel-arc-graphics-english-arabic-tidal-teal/N70220658V/p/,,,,,,,,,,Tidal Teal,,,4.8 GHz,,,,Integrated,,,,,,,,,,1 TB,English/Arabic,,,,83CX0031AD,Lenovo Yoga,,Octa Core,,,,,Windows,,Windows 11 Home,,,,Core Ultra 7 258V,Not Applicable,,,,,32 GB,DDR5,,,,14 in,,,,,,SSD,Business,,,,,
"Travel Laptop Backpack, Anti-Theft Durable Laptop Backpack with USB Charging Port, Waterproof Computer Bag Fits 15.6 Inch Laptop Notebook with Independent Computer Compartment, Large Capacity",103.90,,https://f.nooncdn.com/p/pzsku/Z9B3227F2842C9CEF7A53Z/45/_/1773817461/6eff9bb9-b41d-4fab-b2ad-643273488844.jpg?width=1200,,,,15.6 Inch,,,,https://www.noon.com/saudi-en/travel-laptop-backpack-anti-theft-durable-laptop-backpack-with-usb-charging-port-waterproof-computer-bag-fits-15-6-inch-laptop-notebook-with-independent-computer-compartment-large-capacity/Z9B3227F2842C9CEF7A53Z/p/,,,Backpack,,,Hand Wash,,,,Black-4,"15"" Laptop",,,,,Nylon,,,,Unisex,,,,,,Polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nylon,,,,,,,
"OmniBook 5 Flip 14-fp0019ne Laptop With 14-Inch 2K Display, Core 7 150U Processor/16GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 11 With Backpack And Mouse Glacier Silver",4414.00,4.1,https://f.nooncdn.com/p/pnsku/N70252681V/45/_/1763383382/28d54000-7b21-455f-aacf-7a63e72397a0.jpg?width=1200,Core 7 150U,16 GB,1 TB,14 in,Windows 11,1920x1200,C2BE1EA,https://www.noon.com/saudi-en/omnibook-5-flip-14-fp0019ne-laptop-with-14-inch-2k-display-core-7-150u-processor-16gb-ram-1tb-ssd-intel-iris-xe-graphics-windows-11-with-backpack-and-mouse-glacier-silver/N70252681V/p/,,,,,,,,,,Glacier Silver,,,5.4 GHz,1920x1200,IPS,,,,,,Intel Iris XE,,,,,,1 TB,,,,HP OmniBook 5 Flip 14-FP0019NE,C2BE1EA,,,10-Core,,,,,Windows,,Windows 11,,,,Core 7 150U,1st Gen,,,,,16 GB,LPDDR5,,2.8K,,14 in,,,,,,SSD,Personal,,UAE Version,,,
"ExpertBook Laptop With 14 Inch Full HD (1920x1080) Display, Intel Core i7-13620H Processor/16GB RAM DDR5/512GB SSD/Intel UHD Graphics/DOS(Without Windows)/ English/Arabic Gentle Grey",2749.00,4.2,https://f.nooncdn.com/p/pnsku/N70267304V/45/_/1765205333/c187ee91-d3f8-43b2-bdb1-4fc182b9b105.jpg?width=1200,Core i7-13620H,16 GB,512 GB,14 in,Free DOS,1920x1080,B1403CVA-i716512G0D,https://www.noon.com/saudi-en/expertbook-laptop-with-14-inch-full-hd-1920x1080-display-intel-core-i7-13620h-processor-16gb-ram-ddr5-512gb-ssd-intel-uhd-graphics-dos-without-windows-english-arabic-gentle-grey/N70267304V/p/,,,,,,,,,,Gentle Grey,,,1.8 GHz,1920x1080,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,ExpertBook,B1403CVA-i716512G0D,ASUS ExpertBook,,Deca core,,,,,DOS,,Free DOS,,,,Core i7-13620H,13th Gen,,,,,16 GB,DDR5,,Full HD,,14 in,,,,,,SSD,Business,,,,,
"Legion 5 Gaming Laptop With 15.3 Inch WUXGA (1920X1200) Display IPS 165Hz,Intel Core i7-13650HX Processor/24GB RAM DDR5/512GB SSD/8GB NVIDIA GeForce RTX 5050 Graphics/DOS(Without Windows)/ English/Arabic Eclipse Black",5399.00,3.8,https://f.nooncdn.com/p/pnsku/N70217268V/45/_/1758105439/45ef8e44-219e-44fe-97f3-0cf9bd570d31.jpg?width=1200,Core i7-13650HX,24 GB,512 GB,15.3 in,Free DOS,1920x1200,83LY00ANAD,https://www.noon.com/saudi-en/legion-5-gaming-laptop-with-15-3-inch-wuxga-1920x1200-display-ips-165hz-intel-core-i7-13650hx-processor-24gb-ram-ddr5-512gb-ssd-8gb-nvidia-geforce-rtx-5050-graphics-dos-without-windows-english-arabic-eclipse-black/N70217268V/p/,,,,,,,,,,Eclipse Black,,,2.6 GHz,1920x1200,IPS,,Graphic Card,,,,,,8 GB,,,,512 GB,English/Arabic,,,,83LY00ANAD,Lenovo Legion,,14-Core,,,,,DOS,,Free DOS,,,,Core i7-13650HX,13th Gen,,,,,24 GB,DDR5,165Hz,WUXGA,,15.3 in,,,,,,SSD,Gaming,,,,,
"Surface Laptop 7 Copilot+ PC Laptop With 13.8-Inch Display, Qualcomm Snapdragon X Plus Processor/16GB RAM/512GB SSD/Qualcomm Adreno Graphics/Windows 11 Home English/Arabic Black",4559.00,4.5,https://f.nooncdn.com/p/pnsku/N70103835V/45/_/1770271299/8eadb814-f122-44f8-9a37-b9ed9239349a.jpg?width=1200,Qualcomm Snapdragon X Plus,16 GB,512 GB,13.8 in,Windows 11 Home,1920x1080,ZGM-00050,https://www.noon.com/saudi-en/surface-laptop-7-copilot-pc-laptop-with-13-8-inch-display-qualcomm-snapdragon-x-plus-processor-16gb-ram-512gb-ssd-qualcomm-adreno-graphics-windows-11-home-english-arabic-black/N70103835V/p/,,,,14 Hours,,,,,,Black,,HDMI,3.4 GHz,1920x1080,LED,,Integrated,,,,,,,,Yes,,512 GB,English/Arabic,,,Surface Laptop 7 Copilot+ PC,ZGM-00050,Microsoft Surface Laptop,,12-Core,1,,2,,Windows,,Windows 11 Home,,,,Qualcomm Snapdragon X Plus,Not Applicable,,,,,16 GB,DDR5,,Full HD,,13.8 in,Yes,,,,,SSD,Business,,,,,
"15-fd1052nx (Upgraded Version) Laptop With 15.6 Inch Full HD (1920x1080) Display, Core 5 120U Processor/8GB RAM DDR4/512GB SSD/Intel UHD Graphics/Windows 11 Pro/ English/Arabic Silver",1929.00,4.1,https://f.nooncdn.com/p/pnsku/N70269816V/45/_/1765873694/655b5290-3cbc-4d7d-9f57-55f0a85dab3a.jpg?width=1200,Core 5 120U,8 GB,512 GB,15.6 in,Windows 11 Pro,1920x1080,15-fd1052nx,https://www.noon.com/saudi-en/15-fd1052nx-upgraded-version-laptop-with-15-6-inch-full-hd-1920x1080-display-core-5-120u-processor-8gb-ram-ddr4-512gb-ssd-intel-uhd-graphics-windows-11-pro-english-arabic-silver/N70269816V/p/,,,,,,,,,,Silver,,,1.4 GHz,1920x1080,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,15-fd1052nx,15-fd1052nx,HP Essential,,Deca core,,,,,Windows,,Windows 11 Pro,,,,Core 5 120U,1st Gen,,,,,8 GB,DDR4,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"Yoga Slim 7 14IMH9 Laptop With 14 Inch OLED (1920x1200) Display, Intel Core Ultra 7-155H Processor/16GB RAM DDR5/512GB SSD/Windows 11 Home/ English/Arabic Luna Grey",3499.00,3.9,https://f.nooncdn.com/p/pnsku/N70277452V/45/_/1768216448/8157254f-7bf2-4e3f-8807-beb5270702f4.jpg?width=1200,Core Ultra 7-155H,16 GB,512 GB,14 in,Windows 11 Home,1920x1200,83CV00FRAD,https://www.noon.com/saudi-en/yoga-slim-7-14imh9-laptop-with-14-inch-oled-1920x1200-display-intel-core-ultra-7-155h-processor-16gb-ram-ddr5-512gb-ssd-windows-11-home-english-arabic-luna-grey/N70277452V/p/,,,,,,,,,,Luna Grey,,,1.4 GHz,1920x1200,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,Yoga Slim 7 14IMH9,83CV00FRAD,Lenovo Yoga,,16-Core,,,,,Windows,,Windows 11 Home,,,,Core Ultra 7-155H,Not Applicable,,,,,16 GB,DDR5,,WUXGA,,14 in,,,,,,SSD,Business,,,,,
"ROG Strix G18 Gaming Laptop With 18 Inch WUXGA (1920X1200) Display 144Hz, Core Ultra 9-275HX Processor/32GB RAM DDR5/1TB SSD/Windows 11 Home/16GB Nvidia GeForce RTX 5080 Graphics+ ROG Backpack English/Arabic Black",10789.00,4.2,https://f.nooncdn.com/p/pnsku/N70255434V/45/_/1766669493/077b5bc8-7ac0-42ee-9249-8917855fb8d9.jpg?width=1200,Core Ultra 9 275HX,32 GB,1 TB,18 in,Windows 11 Home,1920x1200,G815LW-S8105W,https://www.noon.com/saudi-en/rog-strix-g18-gaming-laptop-with-18-inch-wuxga-1920x1200-display-144hz-core-ultra-9-275hx-processor-32gb-ram-ddr5-1tb-ssd-windows-11-home-16gb-nvidia-geforce-rtx-5080-graphics-rog-backpack-english-arabic-black/N70255434V/p/,,,,,,,,,,Black,,,2.7 GHz,1920x1200,,,Graphic Card,,,,GeForce RTX 5080,,16 GB,,,,1 TB,English/Arabic,,,ROG Strix G18,G815LW-S8105W,ASUS ROG,,24-Core,,,,,Windows,,Windows 11 Home,,,,Core Ultra 9 275HX,Not Applicable,,,,,32 GB,DDR5,144Hz,WUXGA,,18 in,,,,,,SSD,Gaming,,,,,
"Vivobook Laptop With 16 Inch WUXGA (1920x1200) Display, Core 7-240H Processor/32GB RAM DDR5/1TB SSD/Windows 11 Home/ English/Arabic Matte Black",5689.00,4.2,https://f.nooncdn.com/p/pnsku/N70278860V/45/_/1769080087/583940b7-b346-4f3d-895b-0bac11f6ec6c.jpg?width=1200,Core 7-240H,32 GB,1 TB,16 in,Windows 11 Home,1920x1200,V3607VH-RP001W,https://www.noon.com/saudi-en/vivobook-laptop-with-16-inch-wuxga-1920x1200-display-core-7-240h-processor-32gb-ram-ddr5-1tb-ssd-windows-11-home-english-arabic-matte-black/N70278860V/p/,,,,,,,,,,Matte Black,,,2.4 GHz,1920x1200,,,Integrated,,,,,,,,,,1 TB,English/Arabic,,,,V3607VH-RP001W,ASUS Vivobook,,Deca core,,,,,Windows,,Windows 11 Home,,,,Core 7-240H,2nd Gen,,,,,32 GB,DDR5,,WUXGA,,16 in,,,,,,SSD,Business,,,,,
"14-fp0011nx OmniBook 5 Flip x360 Laptop With 14 Inch WUXGA (1920x1200) Display, Core 5-120U Processor/16GB RAM DDR5/512GB SSD/ English/Arabic Glacier Silver",3009.00,4.5,https://f.nooncdn.com/p/pnsku/N70201584V/45/_/1754831338/82d73799-a047-47ae-af89-749a666b2fc9.jpg?width=1200,Core 5-120U,16 GB,512 GB,14 in,Windows 11,1920x1200,C20RQEA,https://www.noon.com/saudi-en/14-fp0011nx-omnibook-5-flip-x360-laptop-with-14-inch-wuxga-1920x1200-display-core-5-120u-processor-16gb-ram-ddr5-512gb-ssd-english-arabic-glacier-silver/N70201584V/p/,,,,,,,,,,Glacier Silver,,,1.4 GHz,1920x1200,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,,C20RQEA,HP OMEN,,Deca core,,,,,Windows,,Windows 11,,,,Core 5-120U,12th Gen,,,,,16 GB,DDR5,,WUXGA,,14 in,,,,,,SSD,Business,,,,,
